node,gene
1092,YDR034C
1093,YDR034C-A
1094,YDR034C-C
1095,YDR034C-D
1096,YDR034W-B
1097,YDR035W
1098,YDR036C
1099,YDR037W
1100,YDR038C
1101,YDR039C
1102,YDR040C
1103,YDR041W
1104,YDR042C
1105,YDR043C
1106,YDR044W
1107,YDR045C
1108,YDR046C
1109,YDR047W
1110,YDR048C
1111,YDR049W
1112,YDR050C
1113,YDR051C
1114,YDR052C
1115,YDR053W
1116,YDR054C
1117,YDR055W
1118,YDR056C
1119,YDR057W
1120,YDR058C
1121,YDR059C
1122,YDR060W
1123,YDR061W
1124,YDR062W
1125,YDR063W
1126,YDR064W
1127,YDR065W
1128,YDR066C
1129,YDR067C
1130,YDR068W
1131,YDR069C
1132,YDR070C
1133,YDR071C
1134,YDR072C
1135,YDR073W
1136,YDR074W
1137,YDR075W
1138,YDR076W
1139,YDR077W
1140,YDR078C
1141,YDR079C-A
1142,YDR079W
1143,YDR080W
1144,YDR081C
1145,YDR082W
1146,YDR083W
1147,YDR084C
1148,YDR085C
1149,YDR086C
1150,YDR087C
1151,YDR088C
1152,YDR089W
1153,YDR090C
1154,YDR091C
1155,YDR092W
1156,YDR093W
1157,YDR094W
1158,YDR095C
1159,YDR096W
1160,YDR097C
1161,YDR098C
1162,YDR098C-A
1163,YDR098C-B
1164,YDR099W
1165,YDR100W
1166,YDR101C
1167,YDR102C
1168,YDR103W
1169,YDR104C
1170,YDR105C
1171,YDR106W
1172,YDR107C
1173,YDR108W
1174,YDR109C
1175,YDR110W
1176,YDR111C
1177,YDR112W
1178,YDR113C
1179,YDR114C
1180,YDR115W
1181,YDR116C
1182,YDR117C
1183,YDR118W
1184,YDR118W-A
1185,YDR119W
1186,YDR119W-A
1187,YDR120C
1188,YDR121W
1189,YDR122W
1190,YDR123C
1191,YDR124W
1192,YDR125C
1193,YDR126W
1194,YDR127W
1195,YDR128W
1196,YDR129C
1197,YDR130C
1198,YDR131C
1199,YDR132C
1200,YDR133C
1201,YDR135C
1202,YDR136C
1203,YDR137W
1204,YDR138W
1205,YDR139C
1206,YDR140W
1207,YDR141C
1208,YDR142C
1209,YDR143C
1210,YDR144C
1211,YDR145W
1212,YDR146C
1213,YDR147W
1214,YDR148C
1215,YDR149C
1216,YDR150W
1217,YDR151C
1218,YDR152W
1219,YDR153C
1220,YDR154C
1221,YDR155C
1222,YDR156W
1223,YDR157W
1224,YDR158W
1225,YDR159W
1226,YDR160W
1227,YDR161W
1228,YDR162C
1229,YDR163W
1230,YDR164C
1231,YDR165W
1232,YDR166C
1233,YDR167W
1234,YDR168W
1235,YDR169C
1236,YDR169C-A
1237,YDR170C
1238,YDR170W-A
1239,YDR171W
1240,YDR172W
1241,YDR173C
1242,YDR174W
1243,YDR175C
1244,YDR176W
1245,YDR177W
1246,YDR178W
1247,YDR179C
1248,YDR179W-A
1249,YDR180W
1250,YDR181C
1251,YDR182W
1252,YDR182W-A
1253,YDR183C-A
1254,YDR183W
1255,YDR184C
1256,YDR185C
1257,YDR186C
1258,YDR187C
1259,YDR188W
1260,YDR189W
1261,YDR190C
1262,YDR191W
1263,YDR192C
1264,YDR193W
1265,YDR194C
1266,YDR194W-A
1267,YDR195W
1268,YDR196C
1269,YDR197W
1270,YDR198C
1271,YDR199W
1272,YDR200C
1273,YDR201W
1274,YDR202C
1275,YDR203W
1276,YDR204W
1277,YDR205W
1278,YDR206W
1279,YDR207C
1280,YDR208W
1281,YDR209C
1282,YDR210C-C
1283,YDR210C-D
1284,YDR210W
1285,YDR210W-A
1286,YDR210W-B
1287,YDR211W
1288,YDR212W
1289,YDR213W
1290,YDR214W
1291,YDR215C
1292,YDR216W
1293,YDR217C
1294,YDR218C
1295,YDR219C
1296,YDR220C
1297,YDR221W
1298,YDR222W
1299,YDR223W
1300,YDR224C
1301,YDR225W
1302,YDR226W
1303,YDR227W
1304,YDR228C
1305,YDR229W
1306,YDR230W
1307,YDR231C
1308,YDR232W
1309,YDR233C
1310,YDR234W
1311,YDR235W
1312,YDR236C
1313,YDR237W
1314,YDR238C
1315,YDR239C
1316,YDR240C
1317,YDR241W
1318,YDR242W
1319,YDR243C
1320,YDR244W
1321,YDR245W
1322,YDR246W
1323,YDR246W-A
1324,YDR247W
1325,YDR248C
1326,YDR249C
1327,YDR250C
1328,YDR251W
1329,YDR252W
1330,YDR253C
1331,YDR254W
1332,YDR255C
1333,YDR256C
1334,YDR257C
1335,YDR258C
1336,YDR259C
1337,YDR260C
1338,YDR261C
1339,YDR261C-C
1340,YDR261C-D
1341,YDR261W-A
1342,YDR261W-B
1343,YDR262W
1344,YDR263C
1345,YDR264C
1346,YDR265W
1347,YDR266C
1348,YDR267C
1349,YDR268W
1350,YDR269C
1351,YDR270W
1352,YDR271C
1353,YDR272W
1354,YDR273W
1355,YDR274C
1356,YDR275W
1357,YDR276C
1358,YDR277C
1359,YDR278C
1360,YDR279W
1361,YDR280W
1362,YDR281C
1363,YDR282C
1364,YDR283C
1365,YDR284C
1366,YDR285W
1367,YDR286C
1368,YDR287W
1369,YDR288W
1370,YDR289C
1371,YDR290W
1372,YDR291W
1373,YDR292C
1374,YDR293C
1375,YDR294C
1376,YDR295C
1377,YDR296W
1378,YDR297W
1379,YDR298C
1380,YDR299W
1381,YDR300C
1382,YDR301W
1383,YDR302W
1384,YDR303C
1385,YDR304C
1386,YDR305C
1387,YDR306C
1388,YDR307W
1389,YDR308C
1390,YDR309C
1391,YDR310C
1392,YDR311W
1393,YDR312W
1394,YDR313C
1395,YDR314C
1396,YDR315C
1397,YDR316W
1398,YDR316W-A
1399,YDR316W-B
1400,YDR317W
1401,YDR318W
1402,YDR319C
1403,YDR320C
1404,YDR320C-A
1405,YDR320W-B
1406,YDR321W
1407,YDR322C-A
1408,YDR322W
1409,YDR323C
1410,YDR324C
1411,YDR325W
1412,YDR326C
1413,YDR327W
1414,YDR328C
1415,YDR329C
1416,YDR330W
1417,YDR331W
1418,YDR332W
1419,YDR333C
1420,YDR334W
1421,YDR335W
1422,YDR336W
1423,YDR337W
1424,YDR338C
1425,YDR339C
1426,YDR340W
1427,YDR341C
1428,YDR342C
1429,YDR343C
1430,YDR344C
1431,YDR345C
1432,YDR346C
1433,YDR347W
1434,YDR348C
1435,YDR349C
1436,YDR350C
1437,YDR351W
1438,YDR352W
1439,YDR353W
1440,YDR354C-A
1441,YDR354W
1442,YDR355C
1443,YDR356W
1444,YDR357C
1445,YDR358W
1446,YDR359C
1447,YDR360W
1448,YDR361C
1449,YDR362C
1450,YDR363W
1451,YDR363W-A
1452,YDR364C
1453,YDR365C
1454,YDR365W-A
1455,YDR365W-B
1456,YDR366C
1457,YDR367W
1458,YDR368W
1459,YDR369C
1460,YDR370C
1461,YDR371C-A
1462,YDR371W
1463,YDR372C
1464,YDR373W
1465,YDR374C
1466,YDR374W-A
1467,YDR375C
1468,YDR376W
1469,YDR377W
1470,YDR378C
1471,YDR379C-A
1472,YDR379W
1473,YDR380W
1474,YDR381C-A
1475,YDR381W
1476,YDR382W
1477,YDR383C
1478,YDR384C
1479,YDR385W
1480,YDR386W
1481,YDR387C
1482,YDR388W
1483,YDR389W
1484,YDR390C
1485,YDR391C
1486,YDR392W
1487,YDR393W
1488,YDR394W
1489,YDR395W
1490,YDR396W
1491,YDR397C
1492,YDR398W
1493,YDR399W
1494,YDR400W
1495,YDR401W
1496,YDR402C
1497,YDR403W
1498,YDR404C
1499,YDR405W
1500,YDR406W
1501,YDR406W-A
1502,YDR407C
1503,YDR408C
1504,YDR409W
1505,YDR410C
1506,YDR411C
1507,YDR412W
1508,YDR413C
1509,YDR414C
1510,YDR415C
1511,YDR416W
1512,YDR417C
1513,YDR418W
1514,YDR419W
1515,YDR420W
1516,YDR421W
1517,YDR422C
1518,YDR423C
1519,YDR424C
1520,YDR425W
1521,YDR426C
1522,YDR427W
1523,YDR428C
1524,YDR429C
1525,YDR430C
1526,YDR431W
1527,YDR432W
1528,YDR433W
1529,YDR434W
1530,YDR435C
1531,YDR436W
1532,YDR437W
1533,YDR438W
1534,YDR439W
1535,YDR440W
1536,YDR441C
1537,YDR442W
1538,YDR443C
1539,YDR444W
1540,YDR445C
1541,YDR446W
1542,YDR447C
1543,YDR448W
1544,YDR449C
1545,YDR450W
1546,YDR451C
1547,YDR452W
1548,YDR453C
1549,YDR454C
1550,YDR455C
1551,YDR456W
1552,YDR457W
1553,YDR458C
1554,YDR459C
1555,YDR460W
1556,YDR461C-A
1557,YDR461W
1558,YDR462W
1559,YDR463W
1560,YDR464C-A
1561,YDR464W
1562,YDR465C
1563,YDR466W
1564,YDR467C
1565,YDR468C
1566,YDR469W
1567,YDR470C
1568,YDR471W
1569,YDR472W
1570,YDR473C
1571,YDR475C
1572,YDR476C
1573,YDR477W
1574,YDR478W
1575,YDR479C
1576,YDR480W
1577,YDR481C
1578,YDR482C
1579,YDR483W
1580,YDR484W
1581,YDR485C
1582,YDR486C
1583,YDR487C
1584,YDR488C
1585,YDR489W
1586,YDR490C
1587,YDR491C
1588,YDR492W
1589,YDR493W
1590,YDR494W
1591,YDR495C
1592,YDR496C
1593,YDR497C
1594,YDR498C
1595,YDR499W
1596,YDR500C
1597,YDR501W
1598,YDR502C
1599,YDR503C
1600,YDR504C
1601,YDR505C
1602,YDR506C
1603,YDR507C
1604,YDR508C
1605,YDR509W
1606,YDR510C-A
1607,YDR510W
1608,YDR511W
1609,YDR512C
1610,YDR513W
1611,YDR514C
1612,YDR515W
1613,YDR516C
1614,YDR517W
1615,YDR518W
1616,YDR519W
1617,YDR520C
1618,YDR521W
1619,YDR522C
1620,YDR523C
1621,YDR524C
1622,YDR524C-A
1623,YDR524C-B
1624,YDR524W-C
1625,YDR525W
1626,YDR525W-A
1627,YDR526C
1628,YDR527W
1629,YDR528W
1630,YDR529C
1631,YDR530C
